City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jaipur,2018-04-25,56.46,141.44,20.38,60.46,71.45,25.05,1.19,9.46,42.43,0.75,13.24,,157.0,Moderate
Jaipur,2018-04-26,55.72,167.8,11.2,49.13,50.99,22.9,0.84,10.84,46.37,0.36,7.57,,136.0,Moderate
Jaipur,2018-04-27,76.08,203.97,7.31,53.92,50.85,27.11,0.71,10.29,42.32,0.46,4.74,,176.0,Moderate
Jaipur,2018-04-28,58.94,182.58,12.69,44.65,51.62,21.43,0.66,7.69,39.32,0.49,13.42,,179.0,Moderate
Jaipur,2018-04-29,56.72,181.87,8.52,32.45,40.97,11.99,0.5,5.78,68.36,0.61,21.78,,157.0,Moderate
Jaipur,2018-04-30,53.42,182.6,6.75,34.49,35.74,24.11,0.46,5.95,52.55,0.32,13.4,,158.0,Moderate
Jaipur,2018-05-01,56.81,210.23,7.73,40.11,41.2,38.78,0.7,7.74,51.24,0.48,9.62,,147.0,Moderate
Jaipur,2018-05-02,65.79,224.58,9.47,29.32,32.24,25.56,0.6,5.51,56.0,0.85,4.96,,168.0,Moderate
Jaipur,2018-05-03,47.86,155.74,8.07,26.94,30.48,16.3,0.49,7.75,85.36,0.77,17.94,,172.0,Moderate
Jaipur,2018-05-04,51.16,132.15,9.04,25.09,30.24,18.38,0.73,7.2,101.61,0.68,19.83,,150.0,Moderate
Jaipur,2018-05-05,60.11,148.22,12.38,34.71,40.5,18.5,0.77,8.75,111.96,0.92,22.12,,160.0,Moderate
Jaipur,2018-05-06,67.36,168.37,10.71,25.6,31.37,11.54,0.67,8.65,94.99,0.45,15.21,,171.0,Moderate
Jaipur,2018-05-07,53.19,145.71,13.16,26.45,34.22,17.04,0.86,10.8,84.84,0.42,20.61,,176.0,Moderate
Jaipur,2018-05-08,96.38,295.96,12.76,29.69,39.54,20.09,0.96,7.31,90.6,0.66,10.51,,250.0,Poor
Jaipur,2018-05-09,55.01,148.03,10.03,24.3,31.34,18.82,0.74,8.61,87.99,0.33,10.84,,181.0,Moderate
Jaipur,2018-05-10,52.1,126.26,12.6,35.04,41.54,13.08,0.84,8.44,83.94,0.42,12.65,,153.0,Moderate
Jaipur,2018-05-11,60.83,146.01,13.33,46.07,43.12,14.23,0.8,9.23,69.54,1.53,13.36,,137.0,Moderate
Jaipur,2018-05-12,55.45,155.01,11.51,36.61,35.19,12.97,0.94,9.43,55.5,1.19,8.7,,157.0,Moderate
Jaipur,2018-05-13,76.41,223.93,10.18,32.45,34.29,12.29,1.85,10.77,47.12,0.99,6.83,,152.0,Moderate
Jaipur,2018-05-14,83.35,266.9,7.27,24.54,27.02,11.79,1.77,10.47,70.44,1.03,7.12,,255.0,Poor
Jaipur,2018-05-15,78.39,202.16,8.56,27.49,30.82,9.0,2.1,10.55,56.62,0.89,5.64,,204.0,Poor
Jaipur,2018-05-16,71.69,196.66,17.05,41.27,51.73,12.65,2.11,11.15,68.29,1.04,6.36,,194.0,Moderate
Jaipur,2018-05-17,70.42,199.7,16.53,37.41,48.58,11.81,0.8,12.09,75.99,0.95,5.85,,181.0,Moderate
Jaipur,2018-05-18,56.88,153.33,15.45,38.21,48.72,12.85,0.91,11.27,74.15,1.24,4.96,,156.0,Moderate
Jaipur,2018-05-19,66.11,166.85,2.87,16.03,14.57,18.77,0.88,8.6,98.27,1.14,0.23,,161.0,Moderate
Jaipur,2018-05-20,54.57,223.76,3.14,21.16,19.51,19.62,0.83,9.45,93.77,0.91,0.31,,172.0,Moderate
Jaipur,2018-05-21,57.33,143.79,2.77,19.16,16.62,19.17,0.82,9.83,106.57,1.08,0.24,,193.0,Moderate
Jaipur,2018-05-22,68.99,189.57,6.78,27.86,27.73,21.62,1.07,11.69,91.18,1.54,0.34,,160.0,Moderate
Jaipur,2018-05-23,75.45,203.48,11.54,36.46,39.64,21.7,0.97,11.24,73.61,2.27,0.45,,199.0,Moderate
Jaipur,2018-05-24,61.93,168.39,7.43,30.38,31.24,23.1,0.86,16.49,101.63,1.52,1.36,,171.0,Moderate
Jaipur,2018-05-25,68.44,159.11,19.24,54.59,58.58,38.58,1.15,10.24,74.21,3.22,3.99,,169.0,Moderate
Jaipur,2018-05-26,56.84,138.06,20.06,44.26,50.55,33.24,1.03,12.22,71.11,1.65,4.36,,174.0,Moderate
Jaipur,2018-05-27,63.49,196.27,11.96,27.59,37.31,17.05,0.61,10.01,75.28,0.98,3.07,,153.0,Moderate
Jaipur,2018-05-28,70.45,188.11,9.79,41.91,44.83,14.22,0.93,15.87,77.68,1.36,3.89,,169.0,Moderate
Jaipur,2018-05-29,64.81,161.76,5.46,29.36,28.58,11.97,0.85,10.39,80.15,0.88,2.1,,170.0,Moderate
Jaipur,2018-05-30,59.09,190.37,6.79,22.64,25.08,17.28,0.98,10.23,48.49,0.61,2.03,,146.0,Moderate
Jaipur,2018-05-31,50.38,137.75,6.56,33.95,30.82,22.41,0.9,10.31,61.73,1.24,3.51,,138.0,Moderate
Jaipur,2018-06-01,71.04,179.51,8.39,24.45,29.19,16.23,0.9,12.89,53.89,1.14,3.79,,150.0,Moderate
Jaipur,2018-06-02,116.5,491.01,9.98,22.31,27.64,18.84,0.81,11.85,61.13,1.05,2.62,,379.0,Very Poor
Jaipur,2018-06-03,69.06,219.89,8.63,19.95,23.85,12.8,0.61,10.85,52.37,0.36,1.36,,265.0,Poor
Jaipur,2018-06-04,79.44,234.51,9.96,20.29,26.62,12.03,0.9,11.14,41.93,0.87,2.97,,190.0,Moderate
Jaipur,2018-06-05,79.41,225.77,7.9,12.82,18.46,14.82,0.74,9.03,70.1,0.69,1.55,,210.0,Poor
Jaipur,2018-06-06,59.58,191.06,7.62,15.35,19.44,13.97,0.82,8.07,94.49,0.54,0.84,,189.0,Moderate
Jaipur,2018-06-07,69.5,197.39,7.76,17.07,20.01,14.55,0.82,8.76,77.34,0.73,1.07,,132.0,Moderate
Jaipur,2018-06-08,83.02,256.32,8.39,19.03,23.36,16.57,0.81,8.28,35.54,0.93,2.36,,220.0,Poor
Jaipur,2018-06-09,49.28,101.89,9.29,18.54,23.49,23.33,0.53,10.74,30.99,0.72,2.64,,160.0,Moderate
Jaipur,2018-06-10,45.19,113.8,7.87,18.04,21.46,20.35,0.5,11.19,49.77,0.52,1.47,,100.0,Satisfactory
Jaipur,2018-06-11,49.5,152.0,9.69,18.3,22.39,19.28,0.44,9.54,50.65,0.78,1.77,,118.0,Moderate
Jaipur,2018-06-12,73.33,248.63,8.37,22.09,24.34,28.49,0.7,10.04,39.2,0.49,2.56,,169.0,Moderate
Jaipur,2018-06-13,84.79,361.08,15.57,18.75,24.92,22.76,0.56,9.3,38.38,0.24,2.24,,285.0,Poor
Jaipur,2018-06-14,92.4,324.0,10.17,15.67,22.25,20.29,0.4,6.74,47.67,0.29,2.04,,269.0,Poor
Jaipur,2018-06-15,70.52,216.17,9.22,19.28,24.29,24.1,0.54,9.06,50.32,0.34,2.39,,264.0,Poor
Jaipur,2018-06-16,62.62,158.06,8.87,23.54,22.7,19.88,0.55,9.4,47.06,0.26,2.24,,155.0,Moderate
Jaipur,2018-06-17,54.54,130.08,9.16,24.46,23.99,20.21,0.48,9.07,42.86,0.26,2.34,,128.0,Moderate
Jaipur,2018-06-18,79.91,239.87,8.83,21.54,21.73,18.18,0.48,9.68,53.41,0.39,2.42,,161.0,Moderate
Jaipur,2018-06-19,58.91,125.66,9.93,20.24,24.72,14.42,0.47,8.23,62.32,0.45,3.93,,162.0,Moderate
Jaipur,2018-06-20,51.15,99.87,12.89,22.97,32.68,18.94,0.54,13.27,61.32,0.44,3.47,,111.0,Moderate
Jaipur,2018-06-21,83.77,198.31,8.07,25.52,31.67,19.51,0.83,13.19,65.73,0.66,3.69,,160.0,Moderate
Jaipur,2018-06-22,71.26,145.43,9.58,30.02,39.6,24.08,0.77,10.2,60.59,0.73,3.68,,173.0,Moderate
Jaipur,2018-06-23,69.38,143.46,7.66,19.31,26.97,32.96,0.56,10.28,61.66,0.43,2.76,,156.0,Moderate
Jaipur,2018-06-24,60.2,116.5,7.91,19.87,27.78,40.99,0.66,9.77,62.2,0.39,2.38,,132.0,Moderate
Jaipur,2018-06-25,52.05,93.53,8.35,18.64,26.99,30.81,0.64,8.21,58.03,0.46,3.35,,100.0,Satisfactory
Jaipur,2018-06-26,46.38,80.01,8.16,21.35,28.71,27.42,0.75,9.73,51.49,0.59,2.97,,90.0,Satisfactory
Jaipur,2018-06-27,53.68,70.62,11.58,23.61,35.14,25.29,0.8,9.54,23.74,0.81,3.7,,94.0,Satisfactory
Jaipur,2018-06-28,54.1,45.71,11.04,12.34,23.33,21.52,0.64,10.02,41.04,0.53,2.66,,155.0,Moderate
Jaipur,2018-06-29,77.05,50.54,9.06,15.56,24.24,17.72,0.52,8.04,30.16,1.75,2.29,,123.0,Moderate
Jaipur,2018-06-30,73.53,66.1,9.31,14.69,23.79,11.11,0.55,9.04,34.25,0.48,1.62,,135.0,Moderate
Jaipur,2018-07-01,92.72,127.94,10.68,22.37,33.05,14.91,0.3,10.73,28.59,0.63,1.29,,153.0,Moderate
Jaipur,2018-07-02,42.08,92.06,11.21,20.43,31.64,14.54,0.55,10.97,29.6,0.74,2.37,,151.0,Moderate
Jaipur,2018-07-03,42.91,64.43,11.13,18.48,29.59,12.28,0.54,11.7,31.25,0.77,3.78,,94.0,Satisfactory
Jaipur,2018-07-04,45.51,75.61,11.12,16.82,27.94,11.13,0.48,11.0,34.1,0.69,3.95,,89.0,Satisfactory
Jaipur,2018-07-05,79.95,132.67,10.92,15.53,26.45,10.0,0.59,9.44,32.81,0.89,5.05,,154.0,Moderate
Jaipur,2018-07-06,51.39,164.14,9.99,16.71,26.7,9.21,0.75,10.3,49.06,0.87,4.83,,155.0,Moderate
Jaipur,2018-07-07,62.56,171.89,8.19,17.3,25.49,8.63,0.89,10.34,56.81,0.66,3.77,,141.0,Moderate
Jaipur,2018-07-08,61.82,174.4,9.04,18.38,27.42,9.48,0.78,10.72,57.03,0.74,3.92,,154.0,Moderate
Jaipur,2018-07-09,61.97,169.73,9.41,16.79,26.19,9.9,0.77,9.83,59.01,0.99,5.77,,157.0,Moderate
Jaipur,2018-07-10,53.08,125.02,10.13,15.06,23.27,13.56,0.72,8.84,56.39,0.83,4.72,,136.0,Moderate
Jaipur,2018-07-11,51.71,82.22,10.65,18.88,28.65,16.77,0.68,8.4,37.09,1.28,7.01,,108.0,Moderate
Jaipur,2018-07-12,66.31,82.09,10.16,17.37,27.5,14.28,0.73,9.51,32.42,1.18,6.78,,142.0,Moderate
Jaipur,2018-07-13,27.49,55.56,10.53,18.46,28.96,11.97,0.63,10.32,29.86,0.99,6.64,,90.0,Satisfactory
Jaipur,2018-07-14,26.18,59.32,10.44,18.85,29.28,11.89,0.62,8.47,32.24,0.51,2.26,,60.0,Satisfactory
Jaipur,2018-07-15,25.63,41.93,11.06,23.25,34.29,11.22,0.79,8.56,31.86,0.73,3.04,,62.0,Satisfactory
